                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.95943,                0.82641,                 1.2206,                   0.85,                0.70441,                0.77242,                0.55767,                 1.2086,                0.87845,                 1.3644,             0.00089134,             0.00089134,             0.00089134
                     50,                 0.9431,                0.81606,                 1.2144,                0.85365,                0.70143,                0.76992,                0.55497,                 1.1981,                0.87455,                 1.3488,             0.00087484,             0.00087484,             0.00087484
                     51,                0.95207,                0.82315,                 1.2164,                0.83665,                0.70946,                0.77009,                0.55889,                   1.19,                0.87551,                 1.3546,             0.00085834,             0.00085834,             0.00085834
                     52,                0.93531,                0.80873,                 1.2017,                0.85232,                0.70127,                0.77015,                0.55824,                 1.1933,                0.87526,                 1.3502,             0.00084184,             0.00084184,             0.00084184
                     53,                0.93524,                0.80822,                 1.2086,                0.85385,                0.70461,                0.77232,                 0.5584,                 1.1963,                0.87629,                 1.3524,             0.00082533,             0.00082533,             0.00082533
                     54,                 0.9248,                0.79426,                 1.1994,                0.84747,                0.71007,                0.77661,                0.56272,                  1.186,                0.85561,                 1.3491,             0.00080883,             0.00080883,             0.00080883
                     55,                0.93979,                0.80471,                 1.2018,                0.84648,                0.70305,                0.77395,                0.56276,                 1.1782,                0.85445,                 1.3464,             0.00079233,             0.00079233,             0.00079233
                     56,                 0.9346,                0.79963,                    1.2,                0.86803,                 0.6958,                0.77707,                0.56649,                 1.1766,                0.84306,                 1.3428,             0.00077582,             0.00077582,             0.00077582
                     57,                0.91932,                0.78387,                 1.1987,                0.85826,                0.70654,                0.78082,                0.56785,                 1.1742,                0.84227,                  1.343,             0.00075932,             0.00075932,             0.00075932
                     58,                0.90641,                0.77251,                 1.1877,                0.85019,                0.70961,                0.77988,                0.56705,                 1.1805,                0.84833,                  1.344,             0.00074282,             0.00074282,             0.00074282
                     59,                0.93204,                0.77967,                 1.2038,                0.85601,                 0.7121,                0.78147,                0.56766,                 1.1781,                0.83962,                 1.3392,             0.00072631,             0.00072631,             0.00072631
                     60,                 0.9085,                0.76534,                  1.181,                0.85488,                0.70927,                0.77955,                0.56629,                 1.1751,                0.83974,                 1.3416,             0.00070981,             0.00070981,             0.00070981
                     61,                0.91366,                0.77092,                 1.1899,                 0.8495,                0.71381,                0.78184,                0.57037,                 1.1699,                0.83664,                 1.3375,             0.00069331,             0.00069331,             0.00069331
                     62,                0.91224,                0.75769,                 1.1852,                 0.8525,                0.71481,                0.78322,                0.57315,                 1.1646,                 0.8333,                 1.3311,              0.0006768,              0.0006768,              0.0006768
                     63,                 0.8991,                0.75281,                 1.1803,                0.86065,                0.70218,                0.78162,                0.56838,                 1.1711,                0.82811,                 1.3355,              0.0006603,              0.0006603,              0.0006603
                     64,                0.89572,                0.74674,                 1.1757,                 0.8449,                0.71209,                0.78192,                0.57029,                 1.1739,                0.82978,                 1.3404,              0.0006438,              0.0006438,              0.0006438
                     65,                0.90343,                0.75965,                  1.186,                0.85355,                0.71805,                0.78132,                   0.57,                 1.1705,                0.82781,                 1.3386,             0.00062729,             0.00062729,             0.00062729
                     66,                0.89048,                0.73812,                 1.1764,                0.85943,                0.70927,                0.78332,                0.57148,                 1.1614,                0.82744,                  1.333,             0.00061079,             0.00061079,             0.00061079
                     67,                0.87624,                0.71565,                 1.1669,                0.84497,                0.72146,                0.78074,                 0.5695,                 1.1674,                0.82202,                 1.3376,             0.00059429,             0.00059429,             0.00059429
                     68,                0.88878,                0.73488,                 1.1722,                0.84835,                0.72117,                0.78477,                0.57453,                 1.1597,                0.81942,                 1.3285,             0.00057778,             0.00057778,             0.00057778
                     69,                0.88677,                0.73146,                 1.1742,                0.84967,                0.71907,                0.78419,                0.57367,                 1.1613,                0.81839,                 1.3334,             0.00056128,             0.00056128,             0.00056128
                     70,                0.88203,                0.73009,                 1.1746,                0.84259,                0.71904,                0.78283,                0.57282,                 1.1567,                0.81158,                 1.3261,             0.00054478,             0.00054478,             0.00054478
